Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_P_Value,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Top_Features,LIME_Top_Features,Agreement_Level
Logistic Regression,118,740,0.6190476190476191,0.1017330374542646,0.8095238095238095,0.6666666666666666,0.7380952380952381,"BMI, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,119,347,0.07142857142857144,0.8665262706759088,0.5357142857142857,0.3333333333333333,0.43452380952380953,"BMI, BloodPressure, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,120,247,0.6666666666666669,0.07098765432098751,0.8333333333333335,1.0,0.9166666666666667,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,121,6,0.5952380952380953,0.11952980613879262,0.7976190476190477,0.3333333333333333,0.5654761904761905,"Glucose, DiabetesPedigreeFunction, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,122,674,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, Age, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,123,258,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,124,198,0.4523809523809524,0.260404767436885,0.7261904761904762,0.6666666666666666,0.6964285714285714,"DiabetesPedigreeFunction, Glucose, BMI","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,125,238,0.7619047619047621,0.028004939153071794,0.880952380952381,0.6666666666666666,0.7738095238095238,"Glucose, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,126,417,0.5714285714285715,0.1389599571607067,0.7857142857142858,0.6666666666666666,0.7261904761904763,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,127,699,0.04761904761904763,0.9108491685195836,0.5238095238095238,0.3333333333333333,0.4285714285714286,"BMI, DiabetesPedigreeFunction, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,128,205,0.6904761904761906,0.057990318164572716,0.8452380952380953,0.6666666666666666,0.7559523809523809,"BMI, Glucose, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,129,543,0.5952380952380953,0.11952980613879262,0.7976190476190477,0.6666666666666666,0.7321428571428572,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,130,554,0.9523809523809524,0.00026040002438725105,0.9761904761904763,1.0,0.9880952380952381,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,131,244,0.9761904761904763,3.3143960262001043e-05,0.9880952380952381,1.0,0.9940476190476191,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,132,94,0.9047619047619048,0.0020082755054294677,0.9523809523809523,0.6666666666666666,0.8095238095238095,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,133,424,0.8095238095238096,0.014902667686230067,0.9047619047619049,1.0,0.9523809523809524,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,134,212,0.6428571428571429,0.08555889101267318,0.8214285714285714,0.6666666666666666,0.7440476190476191,"Glucose, Age, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,135,697,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,136,679,0.880952380952381,0.0038503204637324014,0.9404761904761905,0.6666666666666666,0.8035714285714286,"BMI, Glucose, Age","Glucose, BMI, Pregnancies",High
Logistic Regression,137,589,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, BMI, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,138,421,0.9285714285714287,0.0008629681828999769,0.9642857142857144,0.6666666666666666,0.8154761904761905,"Glucose, BMI, Age","Glucose, BMI, Pregnancies",High
Logistic Regression,139,734,0.7857142857142858,0.020815127253525276,0.8928571428571429,0.6666666666666666,0.7797619047619048,"BMI, Age, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,140,268,0.9523809523809524,0.00026040002438725105,0.9761904761904763,1.0,0.9880952380952381,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,141,635,0.5476190476190477,0.1600256425388966,0.7738095238095238,0.6666666666666666,0.7202380952380952,"Pregnancies, Glucose, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,142,87,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
